ఆఫ్రికా	Africa
శారదా పీఠం	Sharada Peeth
కశింకోట	Kasimkota
జుక్కల్	Jukkal
సైక్లోస్టైల్	Cyclostyle (copier)
హమ్ద్	Hamd
దూకుడు (సినిమా)	Dookudu
బెజ్జంకి	Bejjanki
కొయ్యలగూడెం	Koyyalagudem, West Godavari
శ్రీకాళహస్తీశ్వర దేవస్థానము, శ్రీకాళహస్తి	Srikalahasti Temple
దక్షిణాది ఫిల్మ్‌ఫేర్ పురస్కారాలు	Filmfare Awards South
హగరి	Vedavathi River
ఆంధ్ర క్షత్రియులు	Raju
నమస్తే తెలంగాణ	Namasthe Telangana
ఏరోస్పేస్ ఇంజినీరింగ్	Aerospace engineering
జంగం (కులం)	Jangam
పుచ్చగింజల నూనె	Watermelon seed oil
నగరి	Nagari, Andhra Pradesh
గోరుచుట్టు	Paronychia
వికీపీడియా:రచ్చబండ (ఇతరత్రా)	Wikipedia:Village pump (miscellaneous)
వికీపీడియా:సంప్రదింపుల కేంద్రం	Wikipedia:Reference desk
దేశాల జాబితా - డేటా ఫైలు	List of sovereign states and dependent territories by continent (data file)
గోండియా విమానాశ్రయం	Gondia Airport
వికీపీడియా:చొరవ తీసుకుని దిద్దుబాట్లు చెయ్యండి	Wikipedia:Be bold
భారతీయ మామిడి	Mangifera indica
వర్గం:అమెరికాలో ప్రసిద్దులు	Category:American people
వర్గం:నటులు	Category:Actors
మూస:Chess diagram	Template:Chess diagram
మూస:Border-radius	Template:Border-radius
మూస:Gradient	Template:Gradient
సుకుమారుడు	Sukumarudu
జబర్‌దస్త్	Jabardasth
మిస్టర్ పెళ్ళికొడుకు	Mr. Pellikoduku
ఒంగోలు గిత్త	Ongole Githa
వర్గం:గూగుల్	Category:Google
మూస:Location map England	Template:Location map UK England
వికీపీడియా:రచ్చబండ (సహాయము)	Wikipedia:Help desk
వర్గం:న్యాయ శాస్త్రము	Category:Law
వర్గం:ఆర్థిక శాస్త్రము	Category:Economics
సుక్రోజ్	Sucrose
వికీపీడియా:నిర్వాహకులు	Wikipedia:Administrators
వర్గం:ప్రజలు	Category:People
వికీపీడియా:నిర్వాహక హోదా కొరకు విజ్ఞప్తి	Wikipedia:Requests for adminship
వికీపీడియా:బాటు	Wikipedia:Bots
వర్గం:కాలము	Category:Time
వర్గం:ఇంటర్నెట్	Category:Internet
వర్గం:ధనం	Category:Money
వర్గం:వృక్ష శాస్త్రము	Category:Botany
వర్గం:ఇంజనీరింగ్	Category:Engineering
వికీపీడియా:Volunteer Response Team	Wikipedia:Volunteer Response Team
ఆంధ్ర రాష్ట్రం	Andhra State
వర్గం:శరీర నిర్మాణ శాస్త్రము	Category:Anatomy
బ్రహ్మాస్త్రము	Brahmastra
వికీపీడియా:భాషాంతర లింకులు	Help:Interlanguage links
వర్గం:రాజకీయం	Category:Politics
వారుణి	Varuni
వర్గం:కళలు	Category:Arts
వర్గం:సాఫ్ట్‌వేర్లు	Category:Software
చరిత్రలో గొప్పవారు	List of people known as The Great
ఎన్నికల సిరా	Election ink
ఈజిప్టు	Egypt
గద్దర్	Gaddar
వికీపీడియా:తోలుబొమ్మ	Wikipedia:Sock puppetry
గోల్కొండ	Golkonda
గోపాలపురం	Gopalpur
ఆర్తీ అగర్వాల్	Aarthi Aggarwal
స్వామిరారా	Swamy Ra Ra
గ్రీకు వీరుడు (సినిమా)	Greeku Veerudu
బాద్‍షా	Baadshah (2013 film)
వికీపీడియా:అయోమయ నివృత్తి	Wikipedia:Disambiguation
వికీపీడియా:వర్గీకరణ	Wikipedia:Categorization
సహాయం:మూస	Help:Template
మూస:IOS	Template:IOS
ఇండియన్ రోప్ ట్రిక్	Indian rope trick
వర్గం:2013	Category:2013
ప్రణీత సుభాష్	Pranitha Subhash
కపూర్	Kapoor
కాకర్ స్పానియల్	Cocker Spaniel
వికీపీడియా:వికీప్రాజెక్టు	Wikipedia:WikiProject
ఇద్దరమ్మాయిలతో	Iddarammayilatho
షాడో (2013 సినిమా)	Shadow (2013 film)
ప్రతాప్ సి. రెడ్డి	Prathap C. Reddy
పవిత్ర బంధం (1996 సినిమా)	Pavitra Bandham
గాగ్రా ఛోళీ	Gagra choli
లక్ష్మణ రేఖ	Lakshmana rekha
వర్గం:తత్వవేత్తలు	Category:Philosophers
దేశాల జాబితా – విద్యుత్ సప్లై వోల్టేజి, ఫ్రీక్వెన్సీ, ప్లగ్ అమరిక భేదాలు	Mains electricity by country
మల్లినాథుడు	Mallinātha Sūri
శ్రీకాంత్ అడ్డాల	Srikanth Addala
బలుపు	Balupu
చమ్మక్ చల్లో	Chammak Challo (film)
మూస:Bot	Template:Bot
శ్రద్దా దాస్	Shraddha Das
రహదారి నియమాలు	Traffic
వైబ్రేటర్	Vibrator
వికీపీడియా:ఏది వికీపీడియా కాదు	Wikipedia:What Wikipedia is not
కెనడా	Canada
వికీపీడియా:కాపీహక్కులు	Wikipedia:Copyrights
సేబర్ హోల్డింగ్స్	Sabre Corporation
వికీపీడియా:గురించి	Wikipedia:About
వాలి	Vali (Ramayana)
వేదిక:విషయాలు	Portal:Contents
వాటర్ ఫైట్	Water fight
వాడుకరి:Naresh Krishna Raja	Wikipedia:Wikidata/Wikidata Sandbox
సంపూర్ణ రామాయణం (1971 సినిమా)	Sampoorna Ramayanam (1971 film)
సహాయం:చమత్కార పదాలు	Help:Magic words
కంప్యూటర్ గేమ్స్	PC game
స్వర్గం	Heaven
అన్నా మణి	Anna Mani
శక్తిపీఠాలు	Shakti Peetha
సైడింగ్ స్ప్రింగ్ తోకచుక్క	C/2013 A1
కర్నూలు కడప కాలువ	K. C. Canal
వై.యస్ (అయోమయ నివృత్తి)	YS
సహాయం:దిద్దుబాటు సారాంశం	Help:Edit summary
వేదిక:విజ్ఞానశాస్త్రము	Portal:Science
100% లవ్ (సినిమా)	100% Love (2011 film)
1977 ఆంధ్ర ప్రదేశ్ తుఫాను	1977 Andhra Pradesh cyclone
వికీపీడియా:నిర్వాహకుల నోటీసు బోర్డు	Wikipedia:Administrators' noticeboard
వికీపీడియా:రచ్చబండ (సాంకేతికము)	Wikipedia:Village pump (technical)
వికీపీడియా:వికీప్రాజెక్టు/కళాసమాహారం/ఛాయాచిత్రకళ	Wikipedia:WikiProject Photography
మూస:Flagicon	Template:Flagicon
వర్గం:యూరప్ దేశాలు	Category:Countries in Europe
వర్గం:ఐరోపా	Category:Europe
వికీపీడియా:సభ్యుని పేజీ	Wikipedia:User pages
మూస:Documentation	Template:Documentation
2009 ఆంధ్రప్రదేశ్ ముఖ్యమంత్రి హెలికాప్టర్ ప్రమాదం	2009 Andhra Pradesh Chief Minister helicopter crash
వికీపీడియా:Bot/Requests for approvals	Wikipedia:Bots/Requests for approval
వికీపీడియా:సభ్యుల అనుమతి పట్టిక	Wikipedia:User access levels
వికీపీడియా:సంరక్షణ విధానం	Wikipedia:Protection policy
డాక్టరేట్	Doctor (title)
47 రోజులు	47 Rojulu
ఏ.కొండూరు	A. Konduru
ఎ.ఎ. కృష్ణస్వామి అయ్యంగార్	A. A. Krishnaswami Ayyangar
ఎ. గణేష మూర్తి	A. Ganesha Murthi
ఎ.కె.ఎస్.విజయన్	A. K. S. Vijayan
ఎ.కరుణాకరన్	A. Karunakaran
ఏ. ఆర్. రేహానా	A. R. Reihana
ఆర్కాట్ రంగనాథ మొదలియారు	A. Ranganatha Mudaliar
అయ్యగారి సాంబశివరావు	A. S. Rao
ఎ.యస్.రావు నగర్	A. S. Rao Nagar
ఆంధ్ర ప్రదేశ్ రాష్ట్ర సంగ్రహాలయం	AP State Archaeology Museum
వికీపీడియా:ఏకాభిప్రాయం	Wikipedia:Consensus
వికీపీడియా:చట్టపరమైన బెదిరింపులు వద్దు	Wikipedia:No legal threats
వికీపీడియా:వివాద పరిష్కారం	Wikipedia:Dispute resolution
వికీపీడియా:వ్యక్తిగత దాడులు కూడదు	Wikipedia:No personal attacks
వర్గం:భాష వారిగా వికీపీడియనులు	Category:Wikipedians by language
వికీపీడియా:అన్ని నియమాలను బేఖాతరు చెయ్యండి	Wikipedia:Ignore all rules
వికీపీడియా:ఐదు మూలస్తంభాలు	Wikipedia:Five pillars
వికీపీడియా:తటస్థ దృక్కోణం	Wikipedia:Neutral point of view
వికీపీడియా:మౌలిక పరిశోధనలు నిషిద్ధం	Wikipedia:No original research
వికీపీడియా:Manual of Style/Lists	Wikipedia:Manual of Style/Lists
వికీపీడియా:కొత్తవారిని ఆదరించండి	Wikipedia:Please do not bite the newcomers
వికీపీడియా:విషయ ప్రాముఖ్యత	Wikipedia:Notability
వికీపీడియా:బయటి లింకులు	Wikipedia:External links
ఆ నలుగురు	Aa Naluguru
ఆ ఒక్కటీ అడక్కు	Aa Okkati Adakku
ఆడపడుచు (1967 సినిమా)	Aada Paduchu
ఆది (సినిమా)	Aadi (2002 film)
ఆదివారం ఆడవాళ్లకు సెలవు	Aadivaram Adavallaku Selavu
అగ్నిధార (అనువాద గ్రంథం)	Aag Ka Darya
ఆకలి రాజ్యం	Aakali Rajyam
ఆఖరి పోరాటం	Aakhari Poratam
ఆమని	Aamani
ఆమె కథ	Aame Katha
ఆపద్బాంధవుడు	Aapadbandhavudu
ఆరుద్ర	Aarudhra
ఆషికి 2	Aashiqui 2
ఆస్తిపరులు	Aastiparulu
ఆటాడిస్తా	Aatadista
ఆత్రేయ	Aatreya (playwright)
ఆత్మగౌరవం	Aatma Gowravam
ఆత్మీయులు	Aatmiyulu
వికీపీడియా:సంతకం	Wikipedia:Signatures
వికీపీడియా:మంచి విశ్వాసం	Wikipedia:Assume good faith
వికీపీడియా:జీవించి ఉన్నవారి చరిత్రలు	Wikipedia:Biographies of living persons
వికీపీడియా:Guide to Layout	Wikipedia:Manual of Style/Layout
వికీపీడియా:దుశ్చర్య	Wikipedia:Vandalism
వికీపీడియా:త్వరిత తొలగింపు	Wikipedia:Criteria for speedy deletion
వికీపీడియా:దృష్టి పెట్టవలసిన పేజీలు	Wikipedia:Pages needing attention
అబ్దుల్లాపూర్	Abdullapur
అభిలాష	Abhilasha
అభినందన (సినిమా)	Abhinandana
అభినయ (నటి)	Abhinaya (actress)
అబిద్ హసన్ సఫ్రాని	Abid Hasan
అచలా సచ్‍‍దేవ్	Achala Sachdev
అచ్చంపేట (గుంటూరు జిల్లా)	Achampet
ఆచంట శాసనసభ నియోజకవర్గం	Achanta (Assembly constituency)
ఆచంట వేమవరం	Achanta Vemavaram
అచనుర్	Achanur
ఆచార్య జయశంకర్ వ్యవసాయ విశ్వవిద్యాలయము	Acharya N. G. Ranga Agricultural University
ఆచార్య నాగార్జున విశ్వవిద్యాలయం	Acharya Nagarjuna University
అచ్యుతాపురం (విశాఖపట్నం)	Achutapuram
అభినయం	Action (theatre)
అడగల్	Adagal
అడవి దొంగ	Adavi Donga
అడవి రాముడు	Adavi Ramudu (1977 film)
ఆది పరాశక్తి	Adi Parashakti
ఆదిభట్ల ప్రత్యేక ఆర్థిక మండలి	Adibatla
ఆదికవి నన్నయ విశ్వవిద్యాలయం	Adikavi Nannaya University
ఆదిత్య 369	Aditya 369
ఆదుర్తి సుబ్బారావు	Adurthi Subba Rao
ఆలె నరేంద్ర	Aelay Narendra
శెఒంగ్ జైగి	Sung Jae-gi
అగ్నిపర్వతం (సినిమా)	Agni Parvatam
అగ్నిమాల	Agnimala
అహ! నా పెళ్ళంట!	Aha Naa Pellanta
అహ! నా పెళ్ళంట! (1987) సినిమా	Aha Naa Pellanta (1987 film)
మైరావణుడు	Ahiravan
అహ్మదాబాదు (తూర్పు) లోకసభ నియోజకవర్గం	Ahmedabad East (Lok Sabha constituency)
అజంతా ఎక్స్‌ప్రెస్	Ajanta Express
ఆదిభట్ల నారాయణదాసు	Ajjada Adibhatla Narayana Dasu
ఆకాశ వీధిలో	Akasa Veedhilo
అఖాడచండీ ఆలయం	Akhadachandi Temple
అక్కా చెల్లెలు	Akka Chellelu
అక్కన్న మాదన్న మహాకాళి గుడి	Akkanna Madanna Temple
అక్కినేని	Akkineni
అక్కిరాజు	Akkiraju
అక్కులపేట	Akkulapeta
అకోలా విమానాశ్రయం	Akola Airport
పూనం పాండే	Poonam Pandey
ఆలేరు అసెంబ్లీ నియోజకవర్గం	Alair (Assembly constituency)
అలమేలు మంగ	Alamelu
ఆలంపూర్ అసెంబ్లీ నియోజకవర్గం	Alampur (SC) (Assembly constituency)
ఆలమూరు (తూర్పుగోదావరిజిల్లా మండలం)	Alamuru
అలర్మెల్ వల్లి	Alarmel Valli
చిండుగ	Albizia odoratissima
ఆలీ (నటుడు)	Ali (actor)
అలీ ఆదిల్‌షా	Ali Adil Shah I
ఆలియా భట్	Alia Bhatt
అలిపిరి	Alipiri
అలిపురుదుయర్	Alipurduar district
అల్లాడి	Alladi (surname)
అయేషా బింత్ అబూ బకర్	Aisha
అల్లరి నరేష్	Allari Naresh
అల్లసాని పెద్దన	Allasani Peddana
అల్లావుద్దీన్ అద్భుతదీపం	Allauddin Adhbhuta Deepam
అల్లు రామలింగయ్య	Allu Rama Lingaiah
అల్లుడుగారు (సినిమా)	Alludugaru
అల్లూరి సీతారామరాజు (సినిమా)	Alluri Seetarama Raju (film)
ఆలూరు, కర్నూలు	Alur, Kurnool
చక్రపాణి	Aluri Chakrapani
ఆముదాలవలస అసెంబ్లీ నియోజకవర్గం	Amadalavalasa (Assembly constituency)
ఎ.వి.ఎస్. (నటుడు)	Amanchi Venkata Subrahmanyam
అమరదీపం	Amara Deepam (1977 film)
అమరావతి ఎక్స్‌ప్రెస్	Amaravati Express
అమరావతి కథలు	Amaravati Kathalu
అమీర్‌పేట	Ameerpet
అమెరికా అమ్మాయి	America Ammayi
అమిత్ షా	Amit Shah
కొండ చీపురు గడ్డి	Thysanolaena maxima
అమ్మ రాజీనామా	Amma Rajinama
అమ్మోరు	Ammoru
అమ్ము స్వామినాథన్	Ammu Swaminathan
అంపశయ్య నవీన్	Ampasayya Naveen
అడవి తీగ ద్రాక్ష	Ampelocissus latifolia
అమ్రాబాద్ (మహబూబ్ నగర్)	Amrabad
అమ్రావతి విమానాశ్రయం	Amravati Airport
అమృతం (ధారావాహిక)	Amrutham (Telugu serial)
ఆనం రామనారాయణరెడ్డి	Anam Ramanarayana Reddy
ఆనంద్ లోకసభ నియోజకవర్గం	Anand (Lok Sabha constituency)
ఆనంద్ (సినిమా)	Anand (2004 film)
తిరుమల ఆనంద నిలయం	Ananda Nilayam
పనప్పాకం ఆనందాచార్యులు	Anandacharlu
ఆనందవాణి	Anandavani
ఆనందిబెన్ పటేల్	Anandiben Patel
అనంతగిరి	Ananthagiri, Vishakapatnam district
అనంత శ్రీరామ్	Ananta Sriram
అనంతగిరి కొండలు	Ananthagiri Hills
శ్రీ అనంత పద్మనాభ స్వామి దేవాలయం (అనంతగిరి)	Ananthagiri Temple
అనంతసాగరం	Ananthasagaram
అనపర్తి శాసనసభ నియోజకవర్గం	Anaparthy (Assembly constituency)
అనార్కలి	Anarkali (1955 film)
అందాల రాముడు	Andala Ramudu (1973 film)
అందాల రాముడు (2006 సినిమా)	Andala Ramudu (2006 film)
అందమైన జీవితం	Andamina Jeevitam
అందరూ దొంగలే	Andaru Dongale
అందెశ్రీ	Ande Sri
ఆంధ్ర క్రైస్తవ కళాశాల	Andhra-Christian College
ఆంధ్రభూమి	Andhra Bhoomi
ఆంధ్ర లయోలా కళాశాల	Andhra Loyola College
ఆంధ్ర నాట్యం	Andhra Natyam
ఆంధ్ర వైద్య కళాశాల	Andhra Medical College
ఆంధ్రప్రదేశ్ (పత్రిక)	Andhra Pradesh (magazine)
ఆంధ్ర ప్రదేశ్ ఎక్స్‌ప్రెస్	Andhra Pradesh Express
ఆంధ్రప్రదేశ్ పారిశ్రామిక మౌలిక సదుపాయాల సంస్థ	Andhra Pradesh Industrial Infrastructure Corporation
ఆంధ్ర ప్రదేశ్ పోలీస్	Andhra Pradesh Police
ఆంధ్రప్రదేశ్ కాలుష్య నియంత్రణ మండలి	Andhra Pradesh Pollution Control Board
2014	Andhra Pradesh Secretariat
ఆంధ్రప్రదేశ్ రాష్ట్ర ఎన్నికల సంఘం	Andhra Pradesh State Election Commission
ఆంధ్ర ప్రదేశ్ రాష్ట్ర రోడ్డు రవాణా సంస్థ	Andhra Pradesh State Road Transport Corporation
ఆంధ్ర విద్యాలయ కళాశాల	Andhra Vidyalaya College
ఆంధ్రుడు (సినిమా)	Andhrudu
ఆంధ్రావాలా (సినిమా)	Andhrawala
ఆందోల్ శాసనసభ నియోజకవర్గం	Andole (SC)(Assembly constituency)
ఆండ్ర	Andra, Vizianagaram
అంగర	Angara, Andhra Pradesh
అనిల్ భరద్వాజ్	Anil Bhardwaj
అనిమేష్ చక్రవర్తి	Animesh Chakravorty
అనితా కఁవర్	Anita Kanwar
అనితా రాజ్	Anita Raj
అంజలీదేవి	Anjali Devi
అంజలీ పిక్చర్స్	Anjali Pictures
అంజనా సుఖానీ	Anjana Sukhani
అంజి (సినిమా)	Anji (film)
అంజూ మెహేంద్రూ	Anju Mahendru
అంకిత్ పల్లవి అండ్ ఫ్రెండ్స్	Ankit, Pallavi & Friends
అంకిత	Ankitha
అన్నా చాందీ	Anna Chandy
అన్నదమ్ముల అనుబంధం	Annadammula Anubandham
అన్నాదమ్ముల సవాల్	Annadammula Savaal
అన్నదాత	Annadata
అన్నమయ్య (సినిమా)	Annamayya (film)
అన్నపూర్ణ (నటి)	Annapoorna (actress)
అన్నపూర్ణ (సినిమా)	Annapurna (film)
అన్నపూర్ణ పిక్చర్స్	Annapurna Studios
అన్నాసాగర్ (భూత్‌పూర్ మండలం)	Annasagar
అన్నవరం (సినిమా)	Annavaram (film)
అన్నే అంజయ్య	Anne Anjaiah
అనూప్ రూబెన్స్	Anup Rubens
అంతర్వేది	Antarvedi
అంతస్తులు	Antastulu
అంతం (సినిమా)	Antham
అంతఃపురం (సినిమా)	Antahpuram
అంతులేని కథ	Anthuleni Katha
అనూ అగర్వాల్	Anu Aggarwal
అనుకోకుండా ఒక రోజు	Anukokunda Oka Roju
అనుమసముద్రంపేట	Anumasamudrampeta
అనుమానాస్పదం	Anumanaspadam
అనురాధ (నటి)	Anuradha (actress)
అనుష్క మన్‌చందా	Anushka Manchanda
అన్వేషణ	Anveshana
అపవాదు	Apavadu
అప్పారావు	Appa Rao
అప్పుచేసి పప్పుకూడు	Appu Chesi Pappu Koodu
ఏప్రిల్ 1 విడుదల	April 1 Vidudala
ఆరాధన (1962 సినిమా)	Aradhana (1962 film)
ఆరాధన (1987 సినిమా)	Aradhana (1987 film)
అరగొండ	Aragonda
అరసాడ	Arasada
అరసాడ (విజయనగరం జిల్లా)	Arasada, Vizianagaram district
అరసవిల్లి	Arasavalli
ఆరతి సాహా	Arati Saha
అరవింద్ 2	Aravind 2
ఆర్కాటు రామస్వామి మొదలియారు	Arcot Ramasamy Mudaliar
అర్ధవీడు	Ardhaveedu
అర్ధాంగి (1955 సినిమా)	Ardhangi
అరికతోట	Arikathota
ఆర్మూర్ శాసనసభ నియోజకవర్గం	Armur (Assembly constituency)
ముత్తులక్ష్మి రెడ్డి	Muthulakshmi Reddi
జానకీ అమ్మాళ్	Janaki Ammal
ఆరోగ్యవరం(శానిటోరియం)	Arogyavaram
ఆర్థర్ కాటన్	Arthur Cotton
ఆర్ట్స్ కాలేజ్ రైల్వే స్టేషను	Arts College railway station
అరుణ్ మజుందార్	Arun Majumdar
అరుణ్ నేత్రవల్లి	Arun Netravali
గల్లా అరుణకుమారి	Aruna Kumari Galla
అరవింద్ భట్నాగర్	Arvind Bhatnagar
ఆర్య (సినిమా)	Arya (2004 film)
ఆర్య 2	Arya 2
ఆర్య వైశ్యులు	Arya Vaishya
ఆర్యన్ రాజేష్	Aryan Rajesh
అశోక్ (సినిమా)	Ashok (film)
అశోక్ దాస్	Ashok Das
అశోక్ గాడ్గిల్	Ashok Gadgil
అష్టవిధ నాయికలు	Ashta Nayika
అష్టలక్ష్మీ దేవాలయం, హైదరాబాదు	Ashtalakshmi Temple, Hyderabad
అశుతోష్ ముఖర్జీ	Ashutosh Mukherjee
శతావరి	Asparagus racemosus
అష్టదిగ్గజములు	Astadiggajas
హజ్ర్ ఎ అస్వద్	Aswad
ఆటపాక	Atapaka
అతిథి	Athidhi (film)
అట్లూరు	Atlur
ఆత్మకూరు (మహబూబ్ నగర్ జిల్లా)	Atmakur, Mahbubnagar
ఆత్మకూరు(S), నల్గొండ జిల్లా	Atmakur, Nalgonda
ఆత్మకూరు (వరంగల్ జిల్లా)	Atmakur, Warangal
ఆత్మకూరు (నెల్లూరు)	Atmakur, Nellore
ఆత్రేయపురం	Atreyapuram
అత్తలూరు	Attalur
అత్తిలి	Attili
ఔరంగాబాద్ జన్ శతాబ్ది ఎక్స్ ప్రెస్	Aurangabad Jan Shatabdi Express
ఔరవ మహర్షి	Aurava
మోజెస్ వంతెన	Fort de Roovere
ఆటోనగర్ సూర్య	Autonagar Surya
అవధానము (సాహిత్యం)	Avadhanam
ఆవకాయ్ బిర్యానీ	Avakai Biryani
వాణిజ్యశాస్త్రం	Business
వికీపీడియా:దారిమార్పు	Wikipedia:Redirect
అంజలి ముద్ర	Añjali Mudrā
బి.కోడూరు	B.Kodur
బీ.కొత్తకోట	B.Kothakota
బి.ఎ.సుబ్బారావు	B. A. Subba Rao
బొల్లిన మునిస్వామి నాయుడు	B. Munuswamy Naidu
బయ్యా నరసింహేశ్వరశర్మ	B. N. Sarma
బి. రాధాబాయి ఆనందరావు	B. Radhabai Ananda Rao
నాగుల చవితి	Naga Chaturthi
బి. టి. రణదివే	B. T. Ranadive
బి. వి. సుబ్బారెడ్డి	B. V. Subba Reddy
బాబాయి హోటల్	Babai Hotel
బాబు (1975 సినిమా)	Babu (1975 film)
బాబు గోగినేని	Babu Gogineni
బాబు మోహన్	Babu Mohan
బాబూరావు	Babu Rao
బడిపంతులు (1972 సినిమా)	Badi Panthulu
బద్రి	Badri (2000 film)
బగళాముఖీ దేవి	Bagalamukhi
బహదుర్ పేట	Bahadur Pentho
మూస:Softredirect	Template:Soft redirect
రవి అరిమిల్లి	Ravi Arimilli
మూస:తొలగించు	Template:Db
బైరెడ్డిపల్లె	Baireddipalle
బాలభారతము	Bala Bharatam
బాలనాగమ్మ (జెమిని 1942 సినిమా)	Bala Nagamma (1942 film)
బాలానగర్ (మహబూబ్ నగర్)	Balanagar, Mahbubnagar
బాలానగర్ (రంగారెడ్డి)	Balanagar, Ranga Reddy
బాలాంత్రపు రజనీకాంత రావు	Balantrapu Rajanikanta Rao
బాలాయపల్లె	Balayapalle
బాల యోగిని	Balayogini
బాలేరు	Baleru
బాలి రామ్	Bali Ram
బలిజేపల్లి లక్ష్మీకాంతం	Balijepalli Lakshmikantham
బలిజిపేట (విజయనగరం జిల్లా)	Balijipeta
బలిపీఠం (సినిమా)	Balipeetam
బలి పాడ్యమి	Balipratipada
బందా కనకలింగేశ్వరరావు	Banda Kanakalingeshwara Rao
బండారు దత్తాత్రేయ	Bandaru Dattatreya
భండారు అచ్చమాంబ	Bandaru Acchamamba
బాంధవ్యాలు	Bandhavyalu
బందిపోటు దొంగలు	Bandipotu Dongalu
బెంగళూరు రాజధాని ఎక్స్‌ప్రెస్	Bangalore Rajdhani Express
బంగారు గాజులు	Bangaru Gaajulu
బంగారు పంజరం	Bangaru Panjaram
బంగారుపాప	Bangaru Papa
చీనాబ్ వంతెన	Chenab Bridge
బానూ జహంగీర్ కోయాజీ	Banoo Jehangir Coyaji
బాపు	Bapu (film director)
బారా షహీద్ దర్గా, నెల్లూరు	Bara Shaheed Dargah
బరాదారి (భవనం)	Baradari (building)
బారసాల	Barasala
బార్దోలి లోకసభ నియోజకవర్గం	Bardoli (Lok Sabha constituency)
బర్లి	Barli, Vizianagaram
బారిష్టర్ పార్వతీశం (నవల)	Barrister Parvateesam
బారిష్టరు పార్వతీశం (సినిమా)	Barrister Parvateesam (film)
బసంగి	Basangi
బి. పద్మనాభం	Basavaraju Venkata Padmanabha Rao
బసవరాజు	Basavaraju
బసిరెడ్డిపల్లి (ప్రకాశం)	Basireddypalli
బసిరెడ్డిపల్లి (పరిగి)	Basireddypally
ఖతి	Font
బాటసారి	Batasari
బత్తిలి	Battili
బొబ్బిలి యుద్ధం	Battle of Bobbili
బటువ	Batuva
బావ నచ్చాడు	Bava Nachadu
బయ్యా సూర్యనారాయణ మూర్తి	Bayya Suryanarayana Murthy
బయ్యారం (ఖమ్మం జిల్లా మండలం)	Bayyaram
బియాంత్ సింగ్	Beant Singh (assassin)
బేగంపేట రైల్వే స్టేషను	Begumpet railway station
బెజవాడ (సినిమా)	Bejawada (film)
బెళ్లందూరు చెరువు	Bellandur Lake
బళ్ళారి రాఘవ	Bellary Raghava
వర్గం:సాంకేతిక విజ్ఞానం	Category:Technology
బేతా సుధాకర్	Betha Sudhakar
వర్గం:వరల్డ్ వైడ్ వెబ్	Category:World Wide Web
బెజవాడ గోపాలరెడ్డి	Bezawada Gopala Reddy
బెజవాడ రామచంద్రారెడ్డి	Bezawada Ramachandra Reddy
భద్రం కొడుకో	Bhadram Koduko
భాగ్యరెడ్డివర్మ	Bhagya Reddy Varma
భాగ్యరేఖ	Bhagya Rekha
భైరవ ద్వీపం	Bhairava Dweepam
భక్త జయదేవ (1961 సినిమా)	Bhakta Jayadeva
భక్త పోతన (1942 సినిమా)	Bhakta Potana
భక్త ప్రహ్లాద (అయోమయ నివృత్తి)	Bhakta Prahlada
భక్త ప్రహ్లాద (1942 సినిమా)	Bhakta Prahlada (1942 film)
భక్త ప్రహ్లాద (1967 సినిమా)	Bhakta Prahlada (1967 film)
భక్త తుకారాం	Bhakta Tukaram
భలే రాముడు	Bhale Ramudu
భలేవాడివి బాసు	Bhalevadivi Basu
భమిడిపాటి	Bhamidipati
భానుచందర్	Bhanu Chander
భరత్ నగర్ రైల్వే స్టేషను	Bharat Nagar railway station
బారుచ్ లోకసభ నియోజకవర్గం	Bharuch (Lok Sabha constituency)
భార్యాభర్తలు	Bharya Bhartalu
భాట్టం శ్రీరామమూర్తి	Bhattam Srirama Murthy
భట్టి విక్రమార్క	Bhatti Vikramarka
భట్టిప్రోలు లిపి	Bhattiprolu alphabet
భవనం వెంకట్రామ్	Bhavanam Venkatarami Reddy
భీమదేవరపల్లి	Bheemadevarpalle
భిక్నూర్‌	Bhiknur
భీమడోలు	Bhimadole
భీమవరం శాసనసభ నియోజకవర్గం	Bhimavaram (Assembly constituency)
భీమిలి శాసనసభ నియోజకవర్గం	Bhimili (Assembly constituency)
భీష్మ (1962 సినిమా)	Bhishma (film)
భోగ శ్రీనివాసుడు	Bhoga Srinivasa
భువనగిరి లోకసభ నియోజకవర్గం	Bhuvanagiri (Lok Sabha constituency)
భూకైలాస్ (1940 సినిమా)	Bhookailas (1940 film)
భూకైలాస్ (1958 సినిమా)‌	Bhookailas (1958 Telugu film)
భూపాల్ రెడ్డి	Bhoopal Reddy
భృగుబండ	Bhrugubanda
భుజబలపట్నం	Bhujabalapatnam
భూమా నాగిరెడ్డి	Bhuma Nagi Reddy
భువనచంద్ర	Bhuvanachandra
బీబీనగర్ (నల్గొండ జిల్లా)	Bibinagar
అనిక్కా ఆల్‌బ్రైట్	Anikka Albrite
బిమల్ జలాన్	Bimal Jalan
బినా అగర్వాల్	Bina Agarwal
బైండోవర్	Binding over
బిరియాని (సినిమా)	Biriyani (film)
బిట్స్, హైదరాబాదు	Birla Institute of Technology and Science, Pilani – Hyderabad
బిర్లా మందిరం, హైదరాబాదు	Birla Mandir, Hyderabad
బిర్లా నక్షత్రశాల, చెన్నై	Birla Planetarium, Chennai
బిటివాడ	Bitiwada
బిట్రగుంట	Bitragunta
అబద్దం	Lie
డేటా సేకరణ	Data collection
